FECHA,Numero 1,Numero 2,Numero 3,Numero 4,Numero 5,Numero 6,COMP.,R.,JOKER
1985-10-17,3.0,11.0,13.0,15.0,34.0,35.0,27.0,,
1985-10-24,5.0,16.0,18.0,29.0,43.0,44.0,2.0,,
1985-10-31,10.0,14.0,29.0,33.0,46.0,48.0,30.0,,
1985-11-07,2.0,9.0,14.0,19.0,34.0,43.0,49.0,,
1985-11-14,19.0,22.0,34.0,36.0,37.0,43.0,38.0,,
1985-11-21,6.0,15.0,35.0,44.0,46.0,48.0,38.0,,
1985-11-28,9.0,17.0,20.0,34.0,41.0,47.0,11.0,,
1985-12-05,4.0,14.0,23.0,27.0,30.0,40.0,12.0,,
1985-12-12,2.0,5.0,7.0,43.0,48.0,49.0,11.0,,
1985-12-19,5.0,28.0,30.0,34.0,39.0,44.0,15.0,,
1986-01-02,16.0,18.0,38.0,43.0,44.0,47.0,39.0,,
1986-01-09,2.0,6.0,8.0,10.0,30.0,48.0,41.0,,
1986-01-16,2.0,14.0,32.0,36.0,41.0,48.0,44.0,,
1986-01-23,9.0,17.0,35.0,37.0,38.0,46.0,2.0,,
1986-01-30,20.0,25.0,35.0,42.0,45.0,46.0,17.0,,
1986-02-06,13.0,14.0,23.0,41.0,47.0,48.0,30.0,,
1986-02-13,5.0,18.0,21.0,28.0,35.0,48.0,11.0,,
1986-02-20,15.0,18.0,39.0,42.0,43.0,49.0,48.0,,
1986-02-27,3.0,26.0,28.0,31.0,46.0,49.0,27.0,,
1986-03-06,4.0,10.0,15.0,34.0,35.0,36.0,6.0,,
1986-03-13,1.0,4.0,12.0,13.0,38.0,45.0,32.0,,
1986-03-20,11.0,25.0,31.0,35.0,41.0,45.0,14.0,,
1986-03-27,11.0,20.0,22.0,40.0,41.0,46.0,4.0,,
1986-04-03,1.0,7.0,16.0,20.0,36.0,38.0,48.0,,
1986-04-10,6.0,12.0,21.0,23.0,35.0,41.0,30.0,,
1986-04-17,6.0,12.0,26.0,33.0,35.0,45.0,47.0,,
1986-04-24,11.0,21.0,34.0,36.0,41.0,44.0,27.0,,
1986-05-01,1.0,6.0,22.0,35.0,47.0,49.0,29.0,,
1986-05-08,2.0,20.0,21.0,31.0,36.0,49.0,18.0,,
1986-05-15,5.0,10.0,15.0,30.0,36.0,37.0,3.0,,
1986-05-22,2.0,9.0,16.0,18.0,44.0,46.0,14.0,,
1986-05-29,1.0,12.0,15.0,25.0,44.0,45.0,20.0,,
1986-06-05,2.0,5.0,18.0,21.0,30.0,31.0,39.0,,
1986-06-12,1.0,8.0,13.0,15.0,32.0,36.0,26.0,,
1986-06-19,1.0,11.0,26.0,36.0,45.0,47.0,12.0,,
1986-06-26,9.0,14.0,15.0,25.0,36.0,38.0,47.0,,
1986-07-03,8.0,14.0,19.0,41.0,44.0,45.0,39.0,,
1986-07-10,1.0,29.0,30.0,34.0,38.0,48.0,23.0,,
1986-07-17,16.0,19.0,24.0,37.0,38.0,49.0,28.0,,
1986-07-24,3.0,19.0,33.0,41.0,47.0,48.0,26.0,,
1986-07-31,12.0,14.0,15.0,21.0,35.0,43.0,18.0,,
1986-08-07,3.0,5.0,16.0,35.0,45.0,46.0,48.0,,
1986-08-14,30.0,34.0,38.0,43.0,47.0,48.0,11.0,,
1986-08-21,15.0,21.0,22.0,30.0,34.0,37.0,8.0,,
1986-08-28,3.0,24.0,25.0,28.0,37.0,41.0,8.0,,
1986-09-04,4.0,9.0,18.0,27.0,37.0,39.0,12.0,,
1986-09-11,2.0,3.0,20.0,24.0,30.0,43.0,34.0,,
1986-09-18,15.0,25.0,31.0,35.0,36.0,43.0,46.0,,
1986-09-25,8.0,21.0,28.0,38.0,43.0,46.0,29.0,,
1986-10-02,2.0,11.0,25.0,40.0,41.0,43.0,23.0,,
1986-10-09,7.0,11.0,23.0,26.0,35.0,46.0,31.0,,
1986-10-16,16.0,21.0,34.0,37.0,42.0,49.0,6.0,,
1986-10-23,2.0,12.0,21.0,30.0,35.0,48.0,42.0,,
1986-10-30,1.0,10.0,26.0,34.0,42.0,48.0,11.0,,
1986-11-06,17.0,22.0,28.0,40.0,42.0,46.0,27.0,,
1986-11-13,1.0,6.0,26.0,30.0,41.0,43.0,18.0,,
1986-11-20,3.0,4.0,10.0,19.0,23.0,30.0,26.0,,
1986-11-27,4.0,20.0,25.0,37.0,41.0,46.0,31.0,,
1986-12-04,2.0,6.0,9.0,10.0,24.0,48.0,11.0,,
1986-12-11,5.0,25.0,39.0,41.0,43.0,45.0,18.0,,
1986-12-18,10.0,16.0,17.0,22.0,39.0,48.0,15.0,,
1987-01-01,3.0,7.0,9.0,24.0,28.0,41.0,49.0,,
1987-01-08,13.0,15.0,16.0,21.0,33.0,46.0,18.0,,
1987-01-15,7.0,8.0,23.0,28.0,29.0,42.0,40.0,,
1987-01-22,28.0,33.0,34.0,35.0,44.0,45.0,37.0,,
1987-01-29,6.0,16.0,24.0,26.0,36.0,42.0,14.0,,
1987-02-05,12.0,15.0,18.0,25.0,31.0,33.0,9.0,,
1987-02-12,2.0,4.0,7.0,16.0,24.0,38.0,25.0,,
1987-02-19,2.0,14.0,15.0,17.0,22.0,37.0,48.0,,
1987-02-26,6.0,15.0,19.0,20.0,38.0,45.0,42.0,,
1987-03-05,5.0,12.0,17.0,19.0,28.0,32.0,21.0,,
1987-03-12,6.0,11.0,19.0,36.0,41.0,48.0,14.0,,
1987-03-19,4.0,6.0,8.0,14.0,30.0,49.0,39.0,,
1987-03-26,3.0,12.0,18.0,25.0,26.0,49.0,2.0,,
1987-04-02,10.0,13.0,19.0,27.0,38.0,43.0,35.0,,
1987-04-09,4.0,22.0,26.0,31.0,36.0,38.0,3.0,,
1987-04-16,8.0,9.0,24.0,25.0,41.0,46.0,36.0,,
1987-04-23,9.0,24.0,26.0,33.0,40.0,44.0,48.0,,
1987-04-30,12.0,14.0,16.0,32.0,41.0,48.0,29.0,,
1987-05-07,12.0,33.0,34.0,36.0,39.0,40.0,16.0,,
1987-05-14,1.0,6.0,32.0,33.0,46.0,47.0,8.0,,
1987-05-21,6.0,12.0,21.0,25.0,37.0,38.0,13.0,,
1987-05-28,1.0,2.0,7.0,21.0,32.0,33.0,49.0,,
1987-06-04,3.0,8.0,21.0,24.0,44.0,45.0,9.0,,
1987-06-11,10.0,20.0,29.0,31.0,38.0,45.0,11.0,,
1987-06-18,1.0,3.0,7.0,24.0,29.0,48.0,2.0,,
1987-06-25,12.0,13.0,15.0,22.0,24.0,44.0,32.0,,
1987-07-02,11.0,15.0,21.0,25.0,36.0,39.0,42.0,,
1987-07-09,15.0,16.0,19.0,32.0,36.0,38.0,37.0,,
1987-07-16,8.0,18.0,25.0,26.0,29.0,47.0,2.0,,
1987-07-23,4.0,5.0,25.0,29.0,34.0,44.0,26.0,,
1987-07-30,4.0,15.0,27.0,37.0,47.0,49.0,9.0,,
1987-08-06,13.0,19.0,35.0,42.0,43.0,49.0,25.0,,
1987-08-13,6.0,23.0,34.0,39.0,45.0,48.0,20.0,,
1987-08-20,9.0,13.0,21.0,24.0,35.0,38.0,48.0,,
1987-08-27,2.0,3.0,4.0,6.0,38.0,43.0,20.0,,
1987-09-03,7.0,9.0,26.0,36.0,44.0,48.0,2.0,,
1987-09-10,19.0,24.0,29.0,34.0,38.0,48.0,12.0,,
1987-09-17,8.0,9.0,23.0,35.0,45.0,47.0,34.0,,
1987-09-24,5.0,11.0,30.0,39.0,41.0,47.0,6.0,,
1987-10-01,8.0,12.0,25.0,33.0,48.0,49.0,32.0,,
1987-10-08,4.0,7.0,10.0,30.0,41.0,46.0,28.0,,
1987-10-15,6.0,12.0,22.0,28.0,32.0,45.0,36.0,,
1987-10-22,3.0,15.0,30.0,35.0,40.0,43.0,1.0,,
1987-10-29,16.0,17.0,24.0,26.0,40.0,41.0,5.0,,
1987-11-05,5.0,15.0,22.0,35.0,37.0,49.0,25.0,,
1987-11-12,11.0,20.0,24.0,31.0,32.0,41.0,25.0,,
1987-11-19,2.0,21.0,30.0,33.0,35.0,41.0,14.0,,
1987-11-26,7.0,13.0,14.0,21.0,42.0,47.0,27.0,,
1987-12-03,5.0,7.0,8.0,12.0,21.0,27.0,48.0,,
1987-12-10,2.0,5.0,12.0,22.0,24.0,42.0,4.0,,
1987-12-17,18.0,30.0,35.0,40.0,46.0,49.0,5.0,,
